MUNICIPIO,IDHM,IDHMR
CariréCE,0.596,0.537
Vitória do MearimMA,0.596,0.54
ManaquiriAM,0.596,0.556
UpanemaRN,0.596,0.542
São Braz do PiauíPI,0.596,0.533
LapãoBA,0.596,0.55
Machadinho D'OesteRO,0.596,0.629
ColinasMA,0.596,0.571
MuricilândiaTO,0.596,0.543
Padre ParaísoMG,0.596,0.556
CocosBA,0.596,0.558
Cacimba de AreiaPB,0.596,0.553
Governador Jorge TeixeiraRO,0.596,0.627
Vitória do XinguPA,0.596,0.594
PiracurucaPI,0.596,0.575
Novo JardimTO,0.596,0.559
João CâmaraRN,0.595,0.6
Ponto dos VolantesMG,0.595,0.564
Presidente KubitschekMG,0.595,0.573
ItacurubaPE,0.595,0.567
ArauáSE,0.595,0.55
SolâneaPB,0.595,0.592
Serra do RamalhoBA,0.595,0.53
GranitoPE,0.595,0.543
Santa Rosa do TocantinsTO,0.595,0.574
BarrasPI,0.595,0.558
São Geraldo do AraguaiaPA,0.595,0.594
TrindadePE,0.595,0.602
SerritaPE,0.595,0.542
AlagoinhaPB,0.595,0.574
EmasPB,0.595,0.554
Nova NazaréMT,0.595,0.621
São Bento do TrairíRN,0.595,0.526
Zé DocaMA,0.595,0.559
Ouro Verde de MinasMG,0.595,0.582
Igarapé-AçuPA,0.595,0.579
Nova PalmeiraPB,0.595,0.567
Eliseu MartinsPI,0.595,0.616
ParanãTO,0.595,0.588
São Lourenço do PiauíPI,0.595,0.56
AcopiaraCE,0.595,0.563
JundiáRN,0.595,0.552
CodóMA,0.595,0.568
PirpiritubaPB,0.595,0.566
São Pedro do PiauíPI,0.595,0.553
BertópolisMG,0.594,0.576
Carrasco BonitoTO,0.594,0.543
BatalhaAL,0.594,0.563
CondadoPB,0.594,0.573
Anísio de AbreuPI,0.594,0.534
AreiaPB,0.594,0.593
Teodoro SampaioBA,0.594,0.567
São Félix do XinguPA,0.594,0.638
São Domingos do AraguaiaPA,0.594,0.629
VarzelândiaMG,0.594,0.546
ÓbidosPA,0.594,0.556
ItororóBA,0.594,0.598
TapiramutáBA,0.594,0.589
BannachPA,0.594,0.635
PintópolisMG,0.594,0.56
NormandiaRR,0.594,0.52
Riacho de Santo AntônioPB,0.594,0.569
Santana dos GarrotesPB,0.594,0.568
QuiterianópolisCE,0.594,0.524
CustódiaPE,0.594,0.607
São JuliãoPI,0.594,0.593
OcaraCE,0.594,0.524
AnamãAM,0.594,0.537
São Sebastião de Lagoa de RoçaPB,0.594,0.561
Rio do PiresBA,0.594,0.568
MiravâniaMG,0.593,0.544
Pedra MoleSE,0.593,0.599
Jardim do MulatoPI,0.593,0.532
João DouradoBA,0.593,0.573
BelémAL,0.593,0.587
AragominasTO,0.593,0.611
Pão de AçúcarAL,0.593,0.536
JacaraciBA,0.593,0.573
Buenos AiresPE,0.593,0.556
GlóriaBA,0.593,0.563
DiamantePB,0.593,0.562
UbatãBA,0.593,0.586
Santa TerezinhaPE,0.593,0.54
São Bento do UnaPE,0.593,0.593
CarnaubalCE,0.593,0.536
MaraúBA,0.593,0.643
ComercinhoMG,0.593,0.566
União dos PalmaresAL,0.593,0.59
Campo Novo de RondôniaRO,0.593,0.667
TacuruMS,0.593,0.615
São Miguel das MatasBA,0.593,0.568
TamandaréPE,0.593,0.583
SantanópolisBA,0.592,0.561
CaridadeCE,0.592,0.528
Santa Rosa de LimaSE,0.592,0.527
BrejolândiaBA,0.592,0.533
PedrinhasSE,0.592,0.568
JurutiPA,0.592,0.547
Nova BelémMG,0.592,0.563
MazagãoAP,0.592,0.609
TartarugalzinhoAP,0.592,0.553
JuveníliaMG,0.592,0.535
VenturosaPE,0.592,0.57
Conceição do TocantinsTO,0.592,0.588
Fronteira dos ValesMG,0.592,0.556
PassiraPE,0.592,0.559
Coração de MariaBA,0.592,0.558
ItapetimPE,0.592,0.598
CupiraPE,0.592,0.601
Barão de GrajaúMA,0.592,0.578
AraçoiabaPE,0.592,0.544
AgrestinaPE,0.592,0.581
AlvarengaMG,0.592,0.589
IngáPB,0.592,0.573
São Vicente FerrerMA,0.592,0.504
CoremasPB,0.592,0.578
ConceiçãoPB,0.592,0.577
CaiçaraPB,0.592,0.58
Itaju do ColôniaBA,0.592,0.57
Bom SucessoPB,0.592,0.558
BelémPB,0.592,0.557
ViçosaRN,0.592,0.552
Tenente AnaniasRN,0.592,0.57
SerrinhaRN,0.592,0.547
RiachueloRN,0.592,0.561
Souto SoaresBA,0.592,0.533
Governador Dix-Sept RosadoRN,0.592,0.564
BrejinhoRN,0.592,0.585
AntasBA,0.592,0.573
Alto Alegre dos ParecisRO,0.592,0.603
MiraímaCE,0.592,0.51
São GabrielBA,0.592,0.55
QueimadasBA,0.592,0.55
QuixelôCE,0.591,0.548
Riacho de SantanaRN,0.591,0.545
IbiracatuMG,0.591,0.537
MirandibaPE,0.591,0.512
Santana do MatosRN,0.591,0.559
Dom BasílioBA,0.591,0.547
São Miguel do GostosoRN,0.591,0.558
CuitéPB,0.591,0.574
São CaitanoPE,0.591,0.583
Presidente MédiciMA,0.591,0.518
IbicoaraBA,0.591,0.583
Brejo Grande do AraguaiaPA,0.591,0.588
São Miguel do GuamáPA,0.591,0.582
RegeneraçãoPI,0.591,0.582
JerumenhaPI,0.591,0.569
Santana do IpanemaAL,0.591,0.579
UmariCE,0.591,0.535
São Miguel dos MilagresAL,0.591,0.545
PocinhosPB,0.591,0.556
IuiúBA,0.591,0.553
CandibaBA,0.591,0.578
Pires FerreiraCE,0.591,0.51
São José de PiranhasPB,0.591,0.594
Frei GasparMG,0.59,0.569
UtingaBA,0.59,0.597
CroatáCE,0.59,0.497
São Domingos do AzeitãoMA,0.59,0.576
Santana do São FranciscoSE,0.59,0.544
ParatingaBA,0.59,0.519
Pai PedroMG,0.59,0.52
CotegipeBA,0.59,0.545
SapucaiaPA,0.59,0.639
Pedras de FogoPB,0.59,0.568
ArarendáCE,0.59,0.522
Porto do MangueRN,0.59,0.558
Buriti BravoMA,0.59,0.539
MontadasPB,0.59,0.545
Marcos ParentePI,0.59,0.58
Santa MariaRN,0.59,0.554
CanavieirasBA,0.59,0.596
IpupiaraBA,0.59,0.558
Mundo NovoBA,0.59,0.606
SerrolândiaBA,0.59,0.56
Santa Maria da Boa VistaPE,0.59,0.564
EsplanadaBA,0.589,0.589
Coronel SapucaiaMS,0.589,0.607
Lago da PedraMA,0.589,0.561
Redenção do GurguéiaPI,0.589,0.557
Lagoa de VelhosRN,0.589,0.566
Lajeado NovoMA,0.589,0.561
PassagemRN,0.589,0.547
BaianópolisBA,0.589,0.543
AngueraBA,0.589,0.565
São Domingos do CaririPB,0.589,0.603
BujariAC,0.589,0.603
Conceição do CanindéPI,0.589,0.559
DormentesPE,0.589,0.558
TheobromaRO,0.589,0.622
NeópolisSE,0.589,0.575
Paulo JacintoAL,0.589,0.551
Monte AlegrePA,0.589,0.541
Frei PauloSE,0.589,0.623
UruaráPA,0.589,0.609
ParanáRN,0.589,0.532
TocantíniaTO,0.589,0.57
Palestina do ParáPA,0.589,0.574
PiranhasAL,0.589,0.563
Olho D'Água das CunhãsMA,0.589,0.551
CarnaubaisRN,0.589,0.583
São PedroRN,0.589,0.574
ItagibáBA,0.589,0.566
Bom Jesus do TocantinsPA,0.589,0.601
Luís DominguesMA,0.588,0.541
AfrânioPE,0.588,0.542
CariraSE,0.588,0.581
Caldeirão Grande do PiauíPI,0.588,0.561
Assis BrasilAC,0.588,0.578
São DomingosSE,0.588,0.572
PedrãoBA,0.588,0.534
AtaléiaMG,0.588,0.592
BelterraPA,0.588,0.548
MorrinhosCE,0.588,0.524
Colônia do PiauíPI,0.588,0.57
TailândiaPA,0.588,0.583
Morro do ChapéuBA,0.588,0.554
ParanhosMS,0.588,0.566
AndorinhaBA,0.588,0.586
Boca do AcreAM,0.588,0.576
AramariBA,0.588,0.568
Urbano SantosMA,0.588,0.506
Feira da MataBA,0.588,0.527
Camocim de São FélixPE,0.588,0.585
UrucuritubaAM,0.588,0.538
Santa LuzPI,0.588,0.539
MauésAM,0.588,0.549
Santana do AcaraúCE,0.587,0.536
Castelo do PiauíPI,0.587,0.566
São FranciscoSE,0.587,0.564
Pé de SerraBA,0.587,0.558
GuaraqueçabaPR,0.587,0.587
Dom FelicianoRS,0.587,0.633
Nossa Senhora da GlóriaSE,0.587,0.591
PaulistaPB,0.587,0.587
Moita BonitaSE,0.587,0.596
MalhadorSE,0.587,0.587
WagnerBA,0.587,0.573
Monte HorebePB,0.587,0.579
UmirimCE,0.587,0.514
Presidente VargasMA,0.587,0.47
Caiçara do Rio do VentoRN,0.587,0.553
Coronel EzequielRN,0.587,0.545
JoaímaMG,0.587,0.572
TupiratinsTO,0.587,0.601
Cachoeira dos ÍndiosPB,0.587,0.583
MontezumaMG,0.587,0.587
Santarém NovoPA,0.587,0.52
CanaranaBA,0.587,0.555
Nova UniãoRO,0.587,0.608
Vera CruzRN,0.587,0.558
CandealBA,0.587,0.554
Poço BrancoRN,0.587,0.562
Santa TeresinhaBA,0.587,0.549
Nova MamoréRO,0.587,0.619
ViçosaAL,0.586,0.554
LajeBA,0.586,0.548
CoariAM,0.586,0.606
NhamundáAM,0.586,0.513
Nossa Senhora de NazaréPI,0.586,0.557
Miguel CalmonBA,0.586,0.571
IbiaraPB,0.586,0.548
Porto CalvoAL,0.586,0.558
TavaresPB,0.586,0.56
Serra GrandePB,0.586,0.549
Tomé-AçuPA,0.586,0.596
EsperantinópolisMA,0.586,0.561
Campo FormosoBA,0.586,0.566
ItaquitingaPE,0.586,0.554
VarzedoBA,0.586,0.581
ChavalCE,0.586,0.524
BarreirosPE,0.586,0.561
Coqueiro SecoAL,0.586,0.582
SussuaparaPI,0.586,0.563
Palmas de Monte AltoBA,0.586,0.561
São ToméRN,0.585,0.565
Alto LongáPI,0.585,0.567
IbitiaraBA,0.585,0.55
Baixa GrandeBA,0.585,0.549
Nacip RaydanMG,0.585,0.64
Lagoa NovaRN,0.585,0.542
Olho-D'Água do BorgesRN,0.585,0.577
Central do MaranhãoMA,0.585,0.503
São Caetano de OdivelasPA,0.585,0.552
Rio TintoPB,0.585,0.562
CrisólitaMG,0.585,0.579
Cícero DantasBA,0.585,0.59
Nina RodriguesMA,0.585,0.474
GranjeiroCE,0.585,0.533
SairéPE,0.585,0.581
LaranjalPR,0.585,0.581
SolidãoPE,0.585,0.547
CaraúbasPB,0.585,0.58
Xique-XiqueBA,0.585,0.563
ChoróCE,0.585,0.493
Curral de DentroMG,0.585,0.571
Sento SéBA,0.585,0.535
MamanguapePB,0.585,0.585
Alegrete do PiauíPI,0.585,0.564
Afonso BezerraRN,0.585,0.56
VerdelândiaMG,0.584,0.542
TejuçuocaCE,0.584,0.517
Nova IorqueMA,0.584,0.558
Santo Antônio de LisboaPI,0.584,0.597
JuarinaTO,0.584,0.563
ParariPB,0.584,0.583
Matriz de CamaragibeAL,0.584,0.541
Riacho da CruzRN,0.584,0.545
Landri SalesPI,0.584,0.563
Lajedo do TabocalBA,0.584,0.545
Tabocas do Brejo VelhoBA,0.584,0.53
ItanagraBA,0.584,0.577
UmbuzeiroPB,0.584,0.545
IbipitangaBA,0.584,0.553
IbicuíBA,0.584,0.586
Érico CardosoBA,0.584,0.558
CavalcanteGO,0.584,0.595
Vale do AnariRO,0.584,0.626
CafarnaumBA,0.584,0.554
São Francisco do BrejãoMA,0.584,0.556
Feira NovaSE,0.584,0.546
Bom JesusRN,0.584,0.583
CanavieiraPI,0.583,0.525
CarnaíbaPE,0.583,0.54
Capitão de CamposPI,0.583,0.552
Senador Elói de SouzaRN,0.583,0.523
CristáliaMG,0.583,0.518
Jacaré dos HomensAL,0.583,0.543
BuritiranaMA,0.583,0.54
FelisburgoMG,0.583,0.577
ColunaMG,0.583,0.59
PinhãoSE,0.583,0.58
Lagoa do PiauíPI,0.583,0.548
AiquaraBA,0.583,0.573
Cabeceiras do PiauíPI,0.583,0.54
LogradouroPB,0.583,0.544
ParamotiCE,0.583,0.515
LucenaPB,0.583,0.577
AroazesPI,0.583,0.563
São João da PontaPA,0.583,0.522
Pedro AvelinoRN,0.583,0.577
ItaueiraPI,0.583,0.594
MacambiraSE,0.583,0.573
Dois Irmãos do TocantinsTO,0.583,0.551
Pau BrasilBA,0.583,0.58
Praia NorteTO,0.583,0.526
Floresta do AraguaiaPA,0.583,0.573
São José da SafiraMG,0.583,0.6
ItacaréBA,0.583,0.594
Santa BárbaraBA,0.583,0.554
CondeúbaBA,0.582,0.559
AricanduvaMG,0.582,0.553
LoretoMA,0.582,0.516
MaracaçuméMA,0.582,0.546
São Domingos do MaranhãoMA,0.582,0.549
UbaíraBA,0.582,0.581
CatolândiaBA,0.582,0.554
VertentesPE,0.582,0.602
AlhandraPB,0.582,0.544
Alagoa GrandePB,0.582,0.576
ItatimBA,0.582,0.55
Serra de São BentoRN,0.582,0.551
MedicilândiaPA,0.582,0.605
CuruçáPA,0.582,0.542
Isaías CoelhoPI,0.582,0.628
Lagoa SalgadaRN,0.582,0.551
Júlio BorgesPI,0.582,0.5
IracemaRR,0.582,0.56
RubelitaMG,0.582,0.552
Bento FernandesRN,0.582,0.542
ManicoréAM,0.582,0.58
São João da SerraPI,0.582,0.545
MombaçaCE,0.582,0.549
AcajutibaBA,0.582,0.56
Baía da TraiçãoPB,0.581,0.541
DarcinópolisTO,0.581,0.597
Vila Nova dos MartíriosMA,0.581,0.555
CuraçáBA,0.581,0.544
São Sebastião do MaranhãoMG,0.581,0.564
Mata VerdeMG,0.581,0.581
AnapurusMA,0.581,0.511
MascoteBA,0.581,0.567
Cabaceiras do ParaguaçuBA,0.581,0.525
PorangaCE,0.581,0.527
AnajatubaMA,0.581,0.523
TenórioPB,0.581,0.565
AracatuBA,0.581,0.591
São Sebastião do UmbuzeiroPB,0.581,0.561
Nova IpixunaPA,0.581,0.59
Lima CamposMA,0.581,0.578
Sigefredo PachecoPI,0.581,0.518
Lago do JuncoMA,0.581,0.537
CamacanBA,0.581,0.608
São José do Brejo do CruzPB,0.581,0.535
Nova Olinda do MaranhãoMA,0.581,0.536
Peixe-BoiPA,0.581,0.543
MoraújoCE,0.581,0.495
CongoPB,0.581,0.562
Limoeiro de AnadiaAL,0.58,0.575
FervedouroMG,0.58,0.583
ParaibanoMA,0.58,0.572
IndiarobaSE,0.58,0.533
TamborilCE,0.58,0.526
JaguaquaraBA,0.58,0.586
Maurilândia do TocantinsTO,0.58,0.542
AmarajiPE,0.58,0.575
FortunaMA,0.58,0.558
São FranciscoPB,0.58,0.56
São BentoPB,0.58,0.597
IbirajubaPE,0.58,0.545
Ponto NovoBA,0.58,0.539
DesterroPB,0.58,0.551
Elesbão VelosoPI,0.58,0.573
PrimaveraPE,0.58,0.572
Tanque do PiauíPI,0.579,0.553
CordeirosBA,0.579,0.561
UmbaúbaSE,0.579,0.567
Juarez TávoraPB,0.579,0.544
São DesidérioBA,0.579,0.584
CachoeirinhaPE,0.579,0.587
PilarPB,0.579,0.544
Sucupira do NorteMA,0.579,0.526
Areia BrancaSE,0.579,0.579
RemansoBA,0.579,0.569
BanzaêBA,0.579,0.539
Lagoa do TocantinsTO,0.579,0.543
IpaporangaCE,0.579,0.502
CipotâneaMG,0.579,0.592
TucanoBA,0.579,0.596
CanguaretamaRN,0.579,0.557
AparecidaPB,0.578,0.567
Belém de MariaPE,0.578,0.537
MachadosPE,0.578,0.541
AlcantilPB,0.578,0.55
TaperoáPB,0.578,0.564
CaririaçuCE,0.578,0.549
BaiãoPA,0.578,0.538
CuruáPA,0.578,0.501
PiritibaBA,0.578,0.566
Belém do Brejo do CruzPB,0.578,0.55
Riachão das NevesBA,0.578,0.527
Alvorada do GurguéiaPI,0.578,0.52
AquidabãSE,0.578,0.573
São José do BonfimPB,0.578,0.549
Cachoeira de PajeúMG,0.578,0.563
Monte Alegre do PiauíPI,0.578,0.531
Terra NovaBA,0.578,0.581
Firmino AlvesBA,0.578,0.596
Malhada de PedrasBA,0.578,0.549
ItamariBA,0.578,0.595
Coronel João PessoaRN,0.578,0.549
ItambéBA,0.578,0.589
BacuriMA,0.578,0.54
Antônio MartinsRN,0.578,0.554
QuixabeiraBA,0.578,0.547
CametáPA,0.577,0.538
PrimaveraPA,0.577,0.571
BrasileiraPI,0.577,0.572
Francisco AyresPI,0.577,0.565
TanhaçuBA,0.577,0.565
Barra D'AlcântaraPI,0.577,0.526
São Sebastião do UatumãAM,0.577,0.561
QuixabaPE,0.577,0.53
Santa Cruz de SalinasMG,0.577,0.548
Gracho CardosoSE,0.577,0.562
Contendas do SincoráBA,0.577,0.579
VeredaBA,0.577,0.568
Santa Cruz dos MilagresPI,0.577,0.524
Barra do RochaBA,0.577,0.585
Nossa Senhora AparecidaSE,0.577,0.577
AutazesAM,0.577,0.539
IbaretamaCE,0.577,0.517
ParipirangaBA,0.577,0.567
UniãoPI,0.577,0.542
PindobaçuBA,0.577,0.527
São José de EspinharasPB,0.577,0.543
Barra de GuabirabaPE,0.577,0.558
Mar VermelhoAL,0.577,0.54
João AlfredoPE,0.576,0.569
ItaubalAP,0.576,0.528
IbirataiaBA,0.576,0.571
GoiatinsTO,0.576,0.541
Olho D'Água do PiauíPI,0.576,0.537
IrajubaBA,0.576,0.544
Canto do BuritiPI,0.576,0.571
CarinhanhaBA,0.576,0.525
Nazaré do PiauíPI,0.576,0.531
ExuPE,0.576,0.543
MaiquiniqueBA,0.576,0.586
Rio do AntônioBA,0.576,0.555
Frei MiguelinhoPE,0.576,0.575
RiachãoMA,0.576,0.572
TarrafasCE,0.576,0.529
PirapemasMA,0.576,0.501
Alagoa NovaPB,0.576,0.567
CoroatáMA,0.576,0.545
Bela Vista do PiauíPI,0.576,0.52
GongogiBA,0.576,0.543
Água BoaMG,0.576,0.594
Poção de PedrasMA,0.576,0.543
Porto AcreAC,0.576,0.593
Vila FlorRN,0.576,0.561
PiripáBA,0.575,0.547
SaboeiroCE,0.575,0.533
Montes AltosMA,0.575,0.534
Belo CampoBA,0.575,0.562
JupiPE,0.575,0.56
ParnaguáPI,0.575,0.526
JunqueiroAL,0.575,0.586
MocajubaPA,0.575,0.539
JaqueiraPE,0.575,0.557
Paes LandimPI,0.575,0.537
ItambéPE,0.575,0.566
BotuporãBA,0.575,0.543
SimõesPI,0.575,0.56
CapixabaAC,0.575,0.601
AbaréBA,0.575,0.533
Barra da EstivaBA,0.575,0.566
AratuípeBA,0.575,0.57
JitaúnaBA,0.575,0.563
Chã PretaAL,0.575,0.537
Boa HoraPI,0.575,0.534
Olinda Nova do MaranhãoMA,0.575,0.495
Várzea do PoçoBA,0.575,0.581
RiachãoPB,0.574,0.515
BaraúnaRN,0.574,0.562
Santa InêsBA,0.574,0.571
IgrapiúnaBA,0.574,0.565
BrejinhoPE,0.574,0.563
Pedra LavradaPB,0.574,0.564
Santo Antônio do JacintoMG,0.574,0.575
CarutaperaMA,0.574,0.533
Buriti dos MontesPI,0.574,0.527
MaragogiAL,0.574,0.556
IaçuBA,0.574,0.588
Pau D'ArcoPA,0.574,0.571
CatingueiraPB,0.574,0.553
Januário CiccoRN,0.574,0.511
PindobaAL,0.574,0.579
Benjamin ConstantAM,0.574,0.526
Santana do PiauíPI,0.574,0.539
MogeiroPB,0.574,0.538
Caiçara do NorteRN,0.574,0.572
Bonito de Santa FéPB,0.574,0.564
BarreirinhaAM,0.574,0.469
Manoel EmídioPI,0.573,0.534
IpueirasCE,0.573,0.534
Pedra BonitaMG,0.573,0.557
São José da LajeAL,0.573,0.574
São Sebastião do TocantinsTO,0.573,0.516
CapelaAL,0.573,0.554
Nova OlindaPB,0.573,0.557
Carnaubeira da PenhaPE,0.573,0.491
Cerro AzulPR,0.573,0.604
Caldeirão GrandeBA,0.573,0.526
São José do PeixePI,0.573,0.548
SossêgoPB,0.573,0.531
AlcântaraMA,0.573,0.525
TacaratuPE,0.573,0.521
Cristalândia do PiauíPI,0.573,0.521
SobradoPB,0.573,0.525
Alvorada de MinasMG,0.572,0.57
São BrásAL,0.572,0.533
PiaçabuçuAL,0.572,0.538
OuricuriPE,0.572,0.578
CumaruPE,0.572,0.553
AngelimPE,0.572,0.555
Santa InêsPB,0.572,0.54
Olho D'ÁguaPB,0.572,0.533
MaturéiaPB,0.572,0.54
ItaetéBA,0.572,0.536
Barra de São MiguelPB,0.572,0.584
Água BrancaPB,0.572,0.542
ItapebiBA,0.572,0.568
TourosRN,0.572,0.562
Sítio NovoRN,0.572,0.528
MairiBA,0.572,0.575
MatinaBA,0.572,0.538
PlanaltinoBA,0.572,0.573
Rio RealBA,0.572,0.568
Rio Grande do PiauíPI,0.572,0.552
TuntumMA,0.572,0.534
São BernardoMA,0.572,0.514
Governador Eugênio BarrosMA,0.572,0.55
RiachinhoTO,0.572,0.503
InhangapiPA,0.572,0.55
VieirópolisPB,0.571,0.537
CalumbiPE,0.571,0.567
Várzea GrandePI,0.571,0.554
Santa HelenaMA,0.571,0.531
Novo CruzeiroMG,0.571,0.562
ItapitangaBA,0.571,0.536
Pedro IiPI,0.571,0.566
BarroquinhaCE,0.571,0.512
JussaraBA,0.571,0.544
Viçosa do CearáCE,0.571,0.521
CaturamaBA,0.571,0.543
PiatãBA,0.571,0.543
IramaiaBA,0.571,0.543
PalmeiranteTO,0.571,0.564
LizardaTO,0.57,0.584
MaracanãPA,0.57,0.534
Juazeiro do PiauíPI,0.57,0.522
CuitegiPB,0.57,0.563
GraçaCE,0.57,0.514
Graça AranhaMA,0.57,0.538
PitimbuPB,0.57,0.538
ParambuCE,0.57,0.526
BarreirinhasMA,0.57,0.515
Santo Antônio do RetiroMG,0.57,0.504
Nova IbiáBA,0.57,0.62
Riacho das AlmasPE,0.57,0.586
São Francisco do PiauíPI,0.57,0.557
Brotas de MacaúbasBA,0.57,0.552
Vitorino FreireMA,0.57,0.563
EsperantinaTO,0.57,0.495
São JoãoPE,0.57,0.565
Lagoa de DentroPB,0.57,0.539
Casa NovaBA,0.57,0.577
AraçasBA,0.57,0.54
Serra RedondaPB,0.57,0.565
Campo AlegreAL,0.57,0.531
Senador Georgino AvelinoRN,0.57,0.543
ItuaçuBA,0.57,0.565
JaparatingaAL,0.57,0.56
Novo AirãoAM,0.57,0.551
Mata RomaMA,0.57,0.483
JuruPB,0.57,0.552
Rio do FogoRN,0.569,0.546
TaipuRN,0.569,0.544
AiuabaCE,0.569,0.518
JapiRN,0.569,0.528
CaapirangaAM,0.569,0.544
CentenárioTO,0.569,0.571
MaravilhaAL,0.569,0.539
SapéPB,0.569,0.563
GuajeruBA,0.569,0.548
JandaíraRN,0.569,0.561
Igarapé do MeioMA,0.569,0.53
CanhobaSE,0.569,0.553
PanelasPE,0.569,0.546
Governador Nunes FreireMA,0.569,0.54
São João da PonteMG,0.569,0.559
MessiasAL,0.568,0.557
Igreja NovaAL,0.568,0.556
Gonçalves DiasMA,0.568,0.542
AnadiaAL,0.568,0.546
Careiro da VárzeaAM,0.568,0.523
Congonhas do NorteMG,0.568,0.566
CortêsPE,0.568,0.541
Salgado de São FélixPB,0.568,0.531
General SampaioCE,0.568,0.548
OurémPA,0.568,0.575
Aurelino LealBA,0.568,0.555
Riacho dos CavalosPB,0.568,0.546
Breu BrancoPA,0.568,0.555
Porto da FolhaSE,0.568,0.537
Pedro VelhoRN,0.568,0.562
BananeirasPB,0.568,0.555
Caldas BrandãoPB,0.568,0.562
Apicum-AçuMA,0.568,0.529
Sucupira do RiachãoMA,0.568,0.538
PurezaRN,0.567,0.516
JussariBA,0.567,0.577
Rodrigues AlvesAC,0.567,0.518
CamalaúPB,0.567,0.549
Santa Rosa do PiauíPI,0.567,0.539
Boa NovaBA,0.567,0.535
JuazeirinhoPB,0.567,0.557
Barra de SantanaPB,0.567,0.526
Magalhães de AlmeidaMA,0.567,0.502
ArarunaPB,0.567,0.549
Canindé de São FranciscoSE,0.567,0.566
MassarandubaPB,0.567,0.552
Santa Helena de MinasMG,0.567,0.531
Euclides da CunhaBA,0.567,0.565
CasinhasPE,0.567,0.518
Nova RedençãoBA,0.567,0.534
PedraPE,0.567,0.55
São Miguel do AleixoSE,0.567,0.571
Nova ColinasMA,0.566,0.502
BarcelonaRN,0.566,0.564
Major IsidoroAL,0.566,0.566
Santo Antônio dos LopesMA,0.566,0.547
Concórdia do ParáPA,0.566,0.56
CubatiPB,0.566,0.545
PimenteirasPI,0.566,0.553
TeofilândiaBA,0.566,0.571
Jatobá do PiauíPI,0.566,0.525
UruocaCE,0.566,0.503
LivramentoPB,0.566,0.523
Manoel VitorinoBA,0.566,0.538
Vista SerranaPB,0.566,0.554
Cristino CastroPI,0.566,0.586
Mulungu do MorroBA,0.566,0.517
Lagoa do MatoMA,0.566,0.525
São José do JacuriMG,0.566,0.582
CalçadoPE,0.566,0.529
Serra PretaBA,0.566,0.541
TaperoáBA,0.566,0.566
Prata do PiauíPI,0.565,0.527
SambaíbaMA,0.565,0.542
Senhora do PortoMG,0.565,0.595
São José do DivinoPI,0.565,0.529
BuritiramaBA,0.565,0.504
Boa Vista do RamosAM,0.565,0.496
Governador ArcherMA,0.565,0.545
InhambupeBA,0.565,0.556
CamamuBA,0.565,0.562
Jardim de AngicosRN,0.565,0.557
PalmópolisMG,0.565,0.559
CanápolisBA,0.565,0.531
Olho D'Água das FloresAL,0.565,0.568
São José de CaianaPB,0.565,0.545
São José de PrincesaPB,0.565,0.533
MulunguPB,0.565,0.548
CoivarasPI,0.565,0.543
Mato GrossoPB,0.565,0.566
Feliz DesertoAL,0.565,0.55
Buriti dos LopesPI,0.565,0.544
CantanhedeMA,0.565,0.497
FiladélfiaBA,0.565,0.553
BodocóPE,0.565,0.543
Vila Nova do PiauíPI,0.565,0.559
PeritoróMA,0.564,0.499
GararuSE,0.564,0.544
Sítio NovoMA,0.564,0.509
Pio IxPI,0.564,0.538
GalinhosRN,0.564,0.578
PilõezinhosPB,0.564,0.532
AlenquerPA,0.564,0.529
JosenópolisMG,0.564,0.541
AraripeCE,0.564,0.515
ItapororocaPB,0.564,0.543
Cacimba de DentroPB,0.564,0.551
Sítio do MatoBA,0.564,0.455
FrancinópolisPI,0.564,0.523
Coelho NetoMA,0.564,0.544
Água Azul do NortePA,0.564,0.563
IgaciAL,0.564,0.547
Baixa Grande do RibeiroPI,0.564,0.537
Rafael JambeiroBA,0.564,0.538
Teotônio VilelaAL,0.564,0.549
Porto Alegre do PiauíPI,0.563,0.539
SalgadinhoPB,0.563,0.531
Ilha GrandePI,0.563,0.534
Vertente do LérioPE,0.563,0.532
Presidente JuscelinoMA,0.563,0.452
CodajásAM,0.563,0.546
EirunepéAM,0.563,0.548
Patos do PiauíPI,0.563,0.529
FaroPA,0.563,0.501
HeliópolisBA,0.563,0.547
Minador do NegrãoAL,0.563,0.541
AlmadinaBA,0.563,0.563
São Miguel da Baixa GrandePI,0.563,0.557
Presidente JuscelinoRN,0.563,0.552
PiçarraPA,0.563,0.561
Bom ConselhoPE,0.563,0.585
MadeiroPI,0.563,0.472
LagoaPB,0.563,0.533
Cajazeiras do PiauíPI,0.562,0.525
Brejo da Madre de DeusPE,0.562,0.581
MarcolândiaPI,0.562,0.578
Matias OlímpioPI,0.562,0.521
OrizâniaMG,0.562,0.551
JundiáAL,0.562,0.573
NazarezinhoPB,0.562,0.528
Ilha das FloresSE,0.562,0.514
Ponta de PedrasPA,0.562,0.558
MalhadaBA,0.562,0.532
Novo Oriente do PiauíPI,0.562,0.547
PalmeiraisPI,0.562,0.515
TrairãoPA,0.562,0.594
CajueiroAL,0.562,0.542
CanudosBA,0.562,0.554
ItatiraCE,0.562,0.514
Pedro LaurentinoPI,0.562,0.479
Areia de BaraúnasPB,0.562,0.566
ItatubaPB,0.562,0.549
Barra de Santa RosaPB,0.562,0.542
